"","AppID","name","MetaScore","free","dlc","isDlc","developer","publisher","Mac","Windows","Linux","single","multi","mmo","coop","crossP","achieve","leadB","cloud","trade","workS","antiCheat","release_date","RPG","Strategy","Action","Adventure","Simulation","Indie","Casual","FreetoPlay","MassivelyMultiplayer","Racing","Sports","EarlyAccess"
"1",10,"Counter-Strike",88,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2000-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"568",20,"Team Fortress Classic",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,1999-04-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"1135",30,"Day of Defeat",79,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2003-05-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"1702",40,"Deathmatch Classic",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2001-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"2269",50,"Half-Life: Opposing Force",NA,0,0,0,"Gearbox Software","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,1999-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"2836",60,"Ricochet",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2000-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"3403",70,"Half-Life",96,0,1,0,"Valve","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,1998-11-08,"False","False","True","False","False","False","False","False","False","False","False","False"
"3970",80,"Counter-Strike: Condition Zero",65,0,0,0,"Valve","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,2004-03-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"4537",130,"Half-Life: Blue Shift",71,0,0,0,"Gearbox Software","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2001-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"5104",280,"Half-Life: Source",NA,0,0,0,"Valve","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2004-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"5671",320,"Half-Life 2: Deathmatch",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2004-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"6238",340,"Half-Life 2: Lost Coast",NA,0,0,0,"Valve","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2005-10-27,"False","False","True","False","False","False","False","False","False","False","False","False"
"6805",360,"Half-Life Deathmatch: Source",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2006-05-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"7372",380,"Half-Life 2: Episode One",87,0,1,0,"Valve","Valve",1,1,1,1,0,0,0,0,1,0,1,0,0,0,2006-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"7939",420,"Half-Life 2: Episode Two",90,0,1,0,"Valve","Valve",1,1,1,1,0,0,0,0,1,0,1,0,0,0,2007-10-10,"False","False","True","False","False","False","False","False","False","False","False","False"
"8506",570,"Dota 2",90,1,3,0,"Valve","Valve",1,1,1,0,1,0,1,0,0,0,0,1,1,1,2013-07-09,"False","True","True","False","False","False","False","True","False","False","False","False"
"9073",630,"Alien Swarm",77,1,0,0,"Valve","Valve",0,1,0,1,1,0,1,0,1,0,1,0,0,0,2010-07-19,"False","False","True","False","False","False","False","False","False","False","False","False"
"9640",1200,"Red Orchestra: Ostfront 41-45",81,0,0,0,"Tripwire Interactive","Tripwire Interactive",1,1,1,0,1,0,0,0,1,0,0,0,0,1,2006-03-14,"False","False","True","False","False","False","False","False","False","False","False","False"
"10207",1230,"Mare Nostrum",NA,1,0,0,"Sandstorm Productions","Tripwire Interactive",1,1,1,0,1,0,0,0,1,0,0,0,0,0,2008-10-17,"False","False","True","False","False","False","False","False","False","False","False","False"
"10774",1250,"Killing Floor",72,0,21,0,"Tripwire Interactive","Tripwire Interactive",1,1,1,1,1,0,1,1,1,0,0,1,1,1,2009-05-14,"False","False","True","False","False","False","False","False","False","False","False","False"
"11341",1280,"Darkest Hour: Europe '44-'45",NA,1,0,0,"Darklight Games","Darklight Games",1,1,1,0,1,0,0,0,0,0,0,0,0,0,2009-06-09,"False","False","True","False","False","False","False","False","False","False","False","False"
"11908",1300,"SiN Episodes: Emergence",75,0,0,0,"Ritual Entertainment","Ritual Entertainment",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-05-10,"False","False","True","False","False","False","False","False","False","False","False","False"
"12475",1500,"Darwinia",84,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2005-07-14,"False","True","False","False","False","True","False","False","False","False","False","False"
"13041",1510,"Uplink",75,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2006-08-23,"False","True","False","False","False","True","False","False","False","False","False","False"
"13608",1520,"DEFCON",84,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,1,0,0,0,0,0,0,0,0,0,2006-09-29,"False","True","False","False","False","True","False","False","False","False","False","False"
"14175",1530,"Multiwinia",76,0,0,0,"Introversion Software","Introversion Software",1,1,0,1,1,0,0,0,1,0,0,0,0,0,2008-09-19,"False","False","False","False","False","True","False","False","False","False","False","False"
"14742",1600,"Dangerous Waters",82,0,0,0,"Sonalysts","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-02-07,"False","True","False","False","False","False","False","False","False","False","False","False"
"15308",1610,"Space Empires IV Deluxe",79,0,0,0,"Malfador Machinations","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-02-07,"False","True","False","False","False","False","False","False","False","False","False","False"
"15875",1620,"Jagged Alliance 2 Gold",NA,0,0,0,"Strategy First","Strategy First",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"16441",1630,"Disciples II: Rise of the Elves ",80,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"17008",1640,"Disciples II: Gallean's Return",84,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"17575",1670,"Iron Warriors: T - 72 Tank Command ",56,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-07-26,"False","True","False","False","False","False","False","False","False","False","False","False"
"18142",1690,"Space Empires V",68,0,0,0,"Malfador Machinations","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-10-16,"False","True","False","False","False","False","False","False","False","False","False","False"
"18709",1700,"Arx Fatalis",77,0,0,0,"Arkane Studios","Arkane Studios",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2002-11-12,"True","False","False","False","False","False","False","False","False","False","False","False"
"19276",1840,"Source Filmmaker",NA,0,0,0,"Valve","Valve",0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012-07-10,"False","False","False","False","False","False","False","False","False","False","False","False"
"19843",1900,"Earth 2160",73,0,0,0,"Reality Pump Studios","Topware Interactive,ACE",1,1,1,1,1,0,0,0,0,0,0,1,0,0,2006-04-01,"False","True","False","False","False","False","False","False","False","False","False","False"
"20410",1930,"Two Worlds Epic Edition",65,0,1,0,"Reality Pump Studios","Topware Interactive",0,1,0,1,1,0,0,0,0,0,0,1,0,0,2009-04-30,"True","False","False","False","False","False","False","False","False","False","False","False"
"20977",2100,"Dark Messiah of Might & Magic",72,0,0,0,"Arkane Studios","Ubisoft",0,1,0,1,1,0,0,0,0,0,0,0,0,1,2006-10-25,"True","False","True","False","False","False","False","False","False","False","False","False"
"21545",2200,"Quake III Arena",NA,0,0,0,"id Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1999-12-05,"False","False","True","False","False","False","False","False","False","False","False","False"
"22111",2210,"Quake IV",81,0,0,0,"RavenSoft / id Software","Bethesda Softworks",0,1,0,1,1,0,0,0,0,0,1,0,0,0,2005-10-18,"False","False","True","False","False","False","False","False","False","False","False","False"
"22678",2270,"Wolfenstein 3D",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1994-08-03,"False","False","True","False","False","False","False","False","False","False","False","False"
"23245",2280,"Ultimate Doom",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1995-04-30,"False","False","True","False","False","False","False","False","False","False","False","False"
"23812",2290,"Final DOOM",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1996-06-17,"False","False","True","False","False","False","False","False","False","False","False","False"
"24378",2300,"DOOM II",83,0,0,0,"id Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1994-05-05,"False","False","True","False","False","False","False","False","False","False","False","False"
"24945",2310,"QUAKE",94,0,0,0,"id Software","id Software",0,1,0,1,1,0,1,0,0,0,1,0,0,0,2007-05-31,"False","False","True","False","False","False","False","False","False","False","False","False"
